equivalent_domain,num_user_stories_no_dominio,equivalent_ml_task,equivalent_ml_task_labels,num_ml_task_labels,domain_confidence,id,abstract,abstract_theme,llm,role_shorten,user_story
Information Systems,120,information retrieval,Ranking; Matching; Pricing; Advertising; Entity Resolution; Sentiment Analysis; Bias Detection in Language Models,7,Medium,A23US9O1,A23,Search-engine bias analysis (PAWS platform),O1_mini,competitor in the search engine market,"As a competitor in the search engine market, I want to analyze how our ranking algorithms compare to others using PAWS, so that I can identify areas for improvement and differentiation."
Psychology,120,time-series classification,Classification; Representation Learning; Clustering; Anomaly Detection; Subset Selection,5,Medium,A2US3Ge,A2,Wearable-based detection of physical aggression in children,Gemini_1.5_flash,therapist,"As a therapist working with aggressive children, I want objective data on their physical activity patterns to track progress in anger management and de-escalation techniques."
Transportation,120,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,A1US1Ge,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),Gemini_1.5_flash,driver,"As a driver, I want a car that uses AI and real-time data to react faster than humans in emergency situations, reducing my risk of accidents."
Economics,90,classification method,Classification,1,High,A15US7O1,A15,Income / poverty prediction from demographic & lifestyle data,O1_mini,non-profit organization leader,"As a nonprofit organization leader, I want to analyze income prediction data, so that I can develop programs that effectively target and alleviate economic disparities within communities."
Finance & Marketing,90,classification method,Classification,1,High,A19US1Ll,A19,Credit-card default prediction,Llama 3.1 70b,banker,"As a banker, I want to minimize credit risk and optimize lending decisions, so I need a reliable method to predict credit card default rates using data analytics."
Health,90,robot learning,Districting; Task Assignment; Resource Allocation,3,High,A5US2Ge,A5,GoCart autonomous delivery robot in healthcare/residential facilities,Gemini_1.5_flash,lab technician,"As a lab technician, I want to easily track the location and status of blood and urine samples using the robot to ensure timely processing."
Computer Vision,60,generative adversarial network,Representation Learning; Anomaly Detection; Data Summarization; Entity Resolution; Bias Detection in Language Models,5,Medium,A11US2Ge,A11,"Anti-counterfeiting copy-detection patterns (digital twin, image-to-image GANs)",Gemini_1.5_flash,printing press operator,"As a printing press operator, I want the platform to analyze digital templates containing CDPs and predict how they will appear on the final printed product, ensuring accurate replication."
Social Networks,60,recommendation system,Ranking,1,Medium,A28US1Ge,A28,Reciprocal dating recommender from speed-dating data,Gemini_1.5_flash,single person,"As a single person looking for love, I want a dating recommender system that goes beyond self- reported profiles and considers real- life interactions and compatibility."
Cardiology,30,support vector machine,Classification; Regression; Ranking; Anomaly Detection; Entity Resolution; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,10,High,A9US1O1,A9,Heart disease diagnosis with Fuzzy SVM & incremental learning,O1_mini,cardiologist,"As a cardiologist, I want the system to quickly analyze patient data using incremental Fuzzy SVM, so I can receive timely and accurate heart disease diagnoses."
Computer Networks,30,deep neural network,Classification; Regression; Ranking; Representation Learning; Anomaly Detection; Spatio-Temporal Process Learning; Graph Diffusion; Graph Augmentation; Subset Selection; Data Summarization; Graph Mining; Entity Resolution; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,17,High,A34US1Ge,A34,DNN-based network intrusion detection system,Gemini_1.5_flash,analyst,"As a cybersecurity analyst, I want to utilize a DNN- based IDS that can detect and classify new and unpredictable cyberattacks automatically, ensuring our network remains secure against evolving threats."
Demography,30,classification method,Classification,1,High,A29US1Ge,A29,Historical census record linkage,Gemini_1.5_flash,economic historian,"As an economic historian, I want to analyze the long- term effects of early life conditions on individuals' later life outcomes, but I need a reliable way to track individuals across historical census records."
Endocrinology,30,support vector regression,Regression,1,High,A10US6Ge,A10,Blood-glucose / hypoglycemia prediction with Support Vector Regression,Gemini_1.5_flash,health insurance provider,"As a health insurance provider, I want to see if this model can be used to reduce the risk of complications and hospitalizations for people with diabetes."
Law,30,decision tree,Classification; Regression; Anomaly Detection; Subset Selection; Data Summarization,5,High,A30US3Ge,A30,Recidivism prediction with Decision Trees (criminal justice),Gemini_1.5_flash,judge or magistrate,"As a judge or magistrate, I want to have access to objective and reliable information about a defendant's risk of re-offending to inform sentencing decisions."
Library,30,information retrieval,Ranking; Matching; Pricing; Advertising; Entity Resolution; Sentiment Analysis; Bias Detection in Language Models,7,High,A24US6Ge,A24,ArnetMiner academic search / academic social network,Gemini_1.5_flash,research funder,"As a research funder, I want to identify promising research areas and researchers for potential funding opportunities."
Linguistics,30,multi-task learning,Classification; Regression; Ranking; Matching; Risk Assessment; Representation Learning; Anomaly Detection; Task Assignment; Spatio-Temporal Process Learning; Graph Diffusion; Graph Augmentation; Entity Resolution; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,17,Medium,A32US5Ge,A32,Stance detection with multi-task learning (NLP),Gemini_1.5_flash,social media moderator,"As a social media moderator, I want to prioritize content for review based on the intensity of a user's stance (e.g., strongly against vs. mildly disagreeing)."
Medicine,30,artificial neural network,Classification; Regression; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Diffusion; Graph Augmentation; Subset Selection; Data Summarization; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,16,High,A17US1Ge,A17,Sleep apnea / hypopnea prediction with LAMSTAR neural networks,Gemini_1.5_flash,sleep specialist,"As a sleep specialist, I want to use an advanced prediction system to forecast episodes of apnea and hypopnea, enabling me to tailor treatment plans more effectively for individual patients."
Music,30,classification method,Classification,1,High,A39US1Ge,A39,Playlist success prediction,Gemini_1.5_flash,music enthusiast,"As a music enthusiast, I want to create playlists that resonate with a wider audience and gain popularity. I want a tool that can predict the success of my playlists based on musical characteristics, allowing me to refine my curation and increase engagement."
News,30,information retrieval,Ranking; Matching; Pricing; Advertising; Entity Resolution; Sentiment Analysis; Bias Detection in Language Models,7,High,A33US2Ll,A33,Semantic news search with Wikidata annotation,Llama 3.1 70b,news agency,"As a news agency, I want to be able to search for precise facts described in news articles, so that I can verify information and ensure the accuracy of our reporting."
Pediatrics,30,classification method,Classification,1,High,A16US1Ge,A16,Newborn cry diagnostic system (cry-audio classification),Gemini_1.5_flash,pediatrician,"As a pediatrician, I want a non-invasive tool that can analyze a newborn's cry and help me identify potential health issues early on."
Pharmacology,30,deep learning,Classification; Regression; Ranking; Matching; Risk Assessment; Representation Learning; Clustering; Anomaly Detection; Districting; Task Assignment; Spatio-Temporal Process Learning; Graph Diffusion; Graph Augmentation; Resource Allocation; Subset Selection; Data Summarization; Graph Mining; Pricing; Advertising; Entity Resolution; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,25,High,A13US2Ge,A13,AI-DrugNet drug repurposing for Alzheimer’s disease,Gemini_1.5_flash,pharmaceutical company scientist,"As a pharmaceutical company scientist, I want the platform to predict potential combinations of existing drugs that may have a synergistic effect in treating AD."
Political Science,30,reinforcement learning,Districting; Task Assignment; Resource Allocation; Pricing; Advertising,5,Low,A4US1Ge,A4,AI-powered military drones & international security,Gemini_1.5_flash,military commander,"As a military leader, I want to leverage AI for improved situational awareness and faster decision- making on the battlefield to gain a tactical advantage."
Radiology,30,convolutional neural network,Classification; Representation Learning; Clustering; Anomaly Detection; Data Summarization; Graph Mining; Entity Resolution,7,High,A18US1Ge,A18,Tuberculosis detection from chest X-rays with CNNs,Gemini_1.5_flash,radiologist,"As a radiologist, I want a tool that can assist me in diagnosing TB disease from chest X-rays, improving accuracy and efficiency in my workflow."
Social Media,30,text classification,Sentiment Analysis; Bias Detection in Language Models; Machine Translation; Speech Recognition,4,High,A3US2Ge,A3,Real-time aggression detection on Twitter,Gemini_1.5_flash,moderator,"As a content moderator, I want a tool that identifies potentially aggressive tweets with high accuracy so that I can prioritize them for review and take appropriate action."
Social Work,30,gradient boosting,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Districting; Graph Mining; Pricing; Advertising; Entity Resolution; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models,14,Low,A12US7O1,A12,Firearm Violence Vulnerability Index (XGBoost community-risk forecasting),O1_mini,grant writer,"As a grant writer, I want to utilize the FVVI’s standardized risk assessments, so that I can secure funding for targeted violence prevention programs."
Sport,30,data mining,Classification; Regression; Clustering; Anomaly Detection; Data Summarization; Graph Mining; Entity Resolution,7,High,A37US1Ge,A37,Fantasy sports analytics & player selection,Gemini_1.5_flash,sports fan,"As a casual sports fan, I want to participate in fantasy sports but feel overwhelmed by the amount of information and player choices. I want a platform that uses data and analytics to help me make informed decisions about which players to select for my team."
