gabarito \ refair,Biology,Cardiology,Computer Networks,Computer Vision,Demography,Demograpy,Dermatology,Economics,Education,Endocrinology,Finance & Marketing,Health,Information Systems,Law,Library,Linguistics,Literature,Medicine,Movies,Music,Nephrology,News,Pediatrics,Pharmacology,Plant Science,Psychology,Psycology,Radiology,Social Media,Social Networks,Social Work,Sociology,Sport,Transportation,Urban Studies,TOTAL
Cardiology,13,1,1,0,0,0,0,0,0,0,0,4,2,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29
Computer Networks,17,0,2,0,0,0,0,0,1,0,3,2,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30
Computer Vision,19,0,3,1,0,1,0,0,1,0,6,2,0,3,0,0,3,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,60
Demography,8,1,1,0,1,0,0,0,2,0,2,3,0,0,1,0,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,30
Economics,34,0,3,0,0,0,0,3,2,1,16,7,1,3,1,0,2,4,0,3,0,1,0,0,0,2,0,0,1,0,3,0,0,2,1,90
Endocrinology,5,0,0,0,0,0,0,0,0,1,1,9,0,0,0,1,1,1,0,0,0,8,0,0,0,0,1,0,0,0,0,0,1,0,0,29
Finance & Marketing,22,0,3,3,0,0,0,0,2,0,13,5,1,0,1,0,15,9,3,2,0,5,0,0,2,1,0,0,0,0,0,0,0,2,1,90
Health,27,0,2,0,0,0,0,0,0,0,10,20,2,2,0,0,6,3,2,6,0,4,1,0,1,0,0,0,0,1,0,0,1,1,1,90
Information Systems,32,0,5,0,0,0,0,0,9,0,10,10,1,2,1,0,13,24,5,2,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,120
Law,13,0,1,0,1,0,0,0,0,0,2,5,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,30
Library,5,0,1,0,0,0,0,0,1,0,1,6,1,2,3,0,0,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,30
Linguistics,6,0,1,0,0,0,0,0,1,0,1,4,0,1,0,2,7,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,1,0,30
Medicine,10,0,0,0,0,0,0,0,0,0,1,9,0,2,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30
Music,3,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30
News,8,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,3,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Pediatrics,11,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,2,5,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,30
Pharmacology,10,0,1,0,0,0,0,0,0,0,2,5,0,1,0,0,2,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,30
Political Science,14,0,0,0,0,0,0,0,1,0,5,2,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,30
Psychology,22,0,3,0,0,0,0,0,0,0,12,27,0,5,0,1,5,12,7,4,0,6,0,0,7,2,0,1,0,0,3,0,2,1,0,120
Radiology,4,1,0,0,0,0,0,0,0,0,3,8,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,30
Social Media,7,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,4,4,0,0,0,2,0,0,1,0,0,0,5,0,0,0,0,2,0,30
Social Networks,18,0,1,0,0,0,1,0,0,0,6,6,1,0,0,0,4,1,2,1,0,0,0,0,0,1,0,0,0,8,0,0,1,9,0,60
Social Work,7,0,1,0,1,0,1,0,0,0,3,10,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Sport,2,7,6,0,0,0,0,0,1,0,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,30
Transportation,36,0,6,0,1,0,0,0,4,0,5,11,1,4,0,0,15,10,8,1,0,6,0,0,4,0,0,0,0,1,0,0,1,5,1,120
